Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:05:27;418122912;418122;23,0
22/12/2022 10:05:28;418622921;418622;23,0
22/12/2022 10:05:28;419122953;419122;23,0
22/12/2022 10:05:29;419622967;419622;23,0
22/12/2022 10:05:29;420123071;420123;23,0
22/12/2022 10:05:30;420623167;420623;23,0
22/12/2022 10:05:30;421123231;421123;23,0
22/12/2022 10:05:31;421623290;421623;23,0
22/12/2022 10:05:31;422123296;422123;23,0
22/12/2022 10:05:32;422623302;422623;23,0
22/12/2022 10:05:32;423123323;423123;23,0
22/12/2022 10:05:33;423623365;423623;23,0
22/12/2022 10:05:33;424123445;424123;23,0
22/12/2022 10:05:34;424623448;424623;23,0
22/12/2022 10:05:34;425123536;425123;23,0
22/12/2022 10:05:35;425623612;425623;23,0
22/12/2022 10:05:35;426123666;426123;23,0
22/12/2022 10:05:36;426623696;426623;23,0
22/12/2022 10:05:36;427123753;427123;23,0
22/12/2022 10:05:37;427623842;427623;23,0
22/12/2022 10:05:37;428123924;428123;23,0
22/12/2022 10:05:38;428623925;428623;23,0
22/12/2022 10:05:38;429123942;429123;23,0
22/12/2022 10:05:39;429624017;429624;23,0
22/12/2022 10:05:39;430124085;430124;23,0
22/12/2022 10:05:40;430624106;430624;23,0
22/12/2022 10:05:40;431124153;431124;23,0
22/12/2022 10:05:41;431624247;431624;23,0
22/12/2022 10:05:41;432124277;432124;23,0
22/12/2022 10:05:42;432624329;432624;23,0
22/12/2022 10:05:42;433124421;433124;23,0
22/12/2022 10:05:43;433624488;433624;23,0
22/12/2022 10:05:43;434124591;434124;23,0
22/12/2022 10:05:44;434624661;434624;23,0
22/12/2022 10:05:44;435124697;435124;23,0
22/12/2022 10:05:45;435624800;435624;23,0
22/12/2022 10:05:45;436124859;436124;23,0
22/12/2022 10:05:46;436624954;436624;23,0
22/12/2022 10:05:46;437125037;437125;23,0
22/12/2022 10:05:47;437625070;437625;23,0
22/12/2022 10:05:47;438125141;438125;23,0
22/12/2022 10:05:48;438625246;438625;23,0
22/12/2022 10:05:48;439125336;439125;23,0
22/12/2022 10:05:49;439625350;439625;23,0
22/12/2022 10:05:49;440125417;440125;23,0
22/12/2022 10:05:50;440625506;440625;23,0
22/12/2022 10:05:50;441125590;441125;23,0
22/12/2022 10:05:51;441625615;441625;23,0
22/12/2022 10:05:51;442125616;442125;23,0
22/12/2022 10:05:52;442625708;442625;23,0
22/12/2022 10:05:52;443125790;443125;23,0
22/12/2022 10:05:53;443625817;443625;23,0
22/12/2022 10:05:53;444125873;444125;23,0
22/12/2022 10:05:54;444625875;444625;23,0
22/12/2022 10:05:54;445125882;445125;23,0
22/12/2022 10:05:55;445625885;445625;23,0
22/12/2022 10:05:55;446125955;446125;23,0
22/12/2022 10:05:56;446625958;446625;23,0
22/12/2022 10:05:56;447125963;447125;23,0
22/12/2022 10:05:57;447626002;447626;23,0
22/12/2022 10:05:57;448126082;448126;23,0
22/12/2022 10:05:58;448626090;448626;23,0
22/12/2022 10:05:58;449126149;449126;23,0
22/12/2022 10:05:59;449626164;449626;23,0
22/12/2022 10:05:59;450126229;450126;23,0
22/12/2022 10:06:00;450626280;450626;23,0
22/12/2022 10:06:00;451126349;451126;23,0
22/12/2022 10:06:01;451626407;451626;23,0
22/12/2022 10:06:01;452126486;452126;23,0
22/12/2022 10:06:02;452626524;452626;23,0
22/12/2022 10:06:02;453126603;453126;23,0
22/12/2022 10:06:03;453626608;453626;23,0
22/12/2022 10:06:03;454126686;454126;23,0
22/12/2022 10:06:04;454626716;454626;23,0
22/12/2022 10:06:04;455126806;455126;23,0
22/12/2022 10:06:05;455626822;455626;23,0
22/12/2022 10:06:05;456126860;456126;23,0
22/12/2022 10:06:06;456626923;456626;23,0
22/12/2022 10:06:06;457127016;457127;23,0
22/12/2022 10:06:07;457627107;457627;23,0
22/12/2022 10:06:07;458127176;458127;23,0
22/12/2022 10:06:08;458627200;458627;23,0
22/12/2022 10:06:08;459127212;459127;23,0
22/12/2022 10:06:09;459627264;459627;23,0
22/12/2022 10:06:09;460127364;460127;23,0
22/12/2022 10:06:10;460627413;460627;23,0
22/12/2022 10:06:10;461127423;461127;23,0
22/12/2022 10:06:11;461627486;461627;23,0
22/12/2022 10:06:11;462127542;462127;23,0
22/12/2022 10:06:12;462627597;462627;23,0
22/12/2022 10:06:12;463127609;463127;23,0
22/12/2022 10:06:13;463627648;463627;23,0
22/12/2022 10:06:13;464127746;464127;23,0
22/12/2022 10:06:14;464627849;464627;23,0
22/12/2022 10:06:14;465127929;465127;23,0
22/12/2022 10:06:15;465628005;465628;23,0
22/12/2022 10:06:15;466128019;466128;23,0
22/12/2022 10:06:16;466628073;466628;23,0
22/12/2022 10:06:16;467128111;467128;23,0
22/12/2022 10:06:17;467628159;467628;23,0
22/12/2022 10:06:17;468128182;468128;23,0
22/12/2022 10:06:18;468628228;468628;23,0
22/12/2022 10:06:18;469128270;469128;23,0
22/12/2022 10:06:19;469628273;469628;23,0
22/12/2022 10:06:19;470128304;470128;23,0
22/12/2022 10:06:20;470628330;470628;23,0
22/12/2022 10:06:20;471128361;471128;23,0
22/12/2022 10:06:21;471628458;471628;23,0
22/12/2022 10:06:21;472128488;472128;23,0
22/12/2022 10:06:22;472628506;472628;23,0
22/12/2022 10:06:22;473128594;473128;23,0
22/12/2022 10:06:23;473628673;473628;23,0
22/12/2022 10:06:23;474128775;474128;23,0
22/12/2022 10:06:24;474628820;474628;23,0
22/12/2022 10:06:24;475128860;475128;23,0
22/12/2022 10:06:25;475628930;475628;23,0
22/12/2022 10:06:25;476129021;476129;23,0
22/12/2022 10:06:26;476629040;476629;23,0
22/12/2022 10:06:26;477129111;477129;23,0
22/12/2022 10:06:27;477629131;477629;23,0
22/12/2022 10:06:27;478129153;478129;23,0
22/12/2022 10:06:28;478629243;478629;23,0
22/12/2022 10:06:28;479129271;479129;23,0
22/12/2022 10:06:29;479629351;479629;23,0
22/12/2022 10:06:29;480129365;480129;23,0
22/12/2022 10:06:30;480629462;480629;23,0
22/12/2022 10:06:30;481129492;481129;23,0
22/12/2022 10:06:31;481629543;481629;23,0
22/12/2022 10:06:31;482129567;482129;23,0
22/12/2022 10:06:32;482629596;482629;23,0
22/12/2022 10:06:32;483129643;483129;23,0
22/12/2022 10:06:33;483629672;483629;23,0
22/12/2022 10:06:33;484129726;484129;23,0
22/12/2022 10:06:34;484629831;484629;23,0
22/12/2022 10:06:34;485129859;485129;23,0
22/12/2022 10:06:35;485629912;485629;23,0
22/12/2022 10:06:35;486129960;486129;23,0
22/12/2022 10:06:36;486629998;486629;23,0
22/12/2022 10:06:36;487130100;487130;23,0
22/12/2022 10:06:37;487630186;487630;23,0
22/12/2022 10:06:37;488130191;488130;23,0
22/12/2022 10:06:38;488630239;488630;23,0
22/12/2022 10:06:38;489130337;489130;23,0
22/12/2022 10:06:39;489630389;489630;23,0
22/12/2022 10:06:39;490130421;490130;23,0
22/12/2022 10:06:40;490630481;490630;22,7
22/12/2022 10:06:40;491130508;491130;22,7
22/12/2022 10:06:41;491630561;491630;23,0
22/12/2022 10:06:41;492130640;492130;23,0
22/12/2022 10:06:42;492630729;492630;23,0
22/12/2022 10:06:42;493130825;493130;22,7
22/12/2022 10:06:43;493630928;493630;23,0
22/12/2022 10:06:43;494131032;494131;22,7
22/12/2022 10:06:44;494631120;494631;22,7
22/12/2022 10:06:44;495131217;495131;23,0
22/12/2022 10:06:45;495631258;495631;22,7
22/12/2022 10:06:45;496131262;496131;22,7
22/12/2022 10:06:46;496631289;496631;22,7
22/12/2022 10:06:46;497131306;497131;22,7
